,type,city,latitude,longitude,price_range,rating,votes,photo_count,delivery,area,chain_restaurant,indian,asian,western,middle_eastern,fast_food,others,highlights_count
232,Quick Bites,Agra,27.2040607,77.9521803,1,0.0,3,0,0,240928,0,0,0,0,0,1,0,6
233,Other,Agra,27.18200118,77.96169542,1,0.0,2,0,0,240928,0,0,0,0,0,1,1,1
234,Other,Agra,27.2298089,78.0042713,1,3.1,5,2,0,240928,0,0,0,0,0,0,0,2
235,Café/Bakery,Agra,27.19257715,78.00116245,1,3.0,6,1,0,240928,1,0,0,0,0,0,0,4
236,Quick Bites,Agra,27.1599768,78.0538217,1,0.0,3,2,0,240928,0,1,1,0,0,1,0,5
237,Quick Bites,Agra,27.1908209,78.0225791,1,0.0,2,0,1,240928,0,0,0,0,0,0,0,4
238,Quick Bites,Agra,27.1554089,78.0342122,1,3.0,5,0,0,240928,0,1,0,0,0,0,1,5
239,Quick Bites,Agra,27.2227645,78.0070524,1,0.0,3,0,0,240928,0,0,0,0,0,1,0,6
240,Other,Agra,27.216808,77.987495,1,2.9,5,2,0,240928,0,0,0,0,0,1,0,6
241,Quick Bites,Agra,27.2029924,77.9736507,1,3.0,4,0,0,240928,0,1,0,0,0,0,0,6
242,Café/Bakery,Agra,0.0,0.0,1,0.0,3,0,0,240928,0,0,0,0,0,0,0,2
243,Quick Bites,Agra,27.183775,77.9728092,1,0.0,3,0,1,240928,0,0,0,0,0,1,0,7
244,Quick Bites,Agra,27.1679876,78.0386231,1,0.0,2,0,0,240928,0,1,0,0,0,0,0,5
245,Café/Bakery,Agra,27.1900154,77.9628451,1,0.0,2,2,1,240928,0,0,0,0,0,0,0,3
